sku,title,description,condition,price,currency,quantity,ebay_item_id,ebay_url,image_url,category,item_specifics
EBAY-366419891578,Motorola Edge 2025 Black 256GB Open Box Complete In Box OEM-Unlocked,Public eBay store listing imported from ExactSpec store page.,Open box,190.00,USD,1,366419891578,https://www.ebay.com/itm/366419891578,,Cell Phones & Smartphones,"{""Inventory source"": ""Public eBay store page"", ""Store"": ""Horizon Wireless dba ExactSpec"", ""Network"": ""Unlocked"", ""Storage Capacity"": ""256 GB"", ""Brand"": ""Motorola""}"
EBAY-366419631945,Samsung Galaxy Tab A11+ Wifi Only,Public eBay store listing imported from ExactSpec store page.,,190.00,USD,1,366419631945,https://www.ebay.com/itm/366419631945,,Tablets & eBook Readers,"{""Inventory source"": ""Public eBay store page"", ""Store"": ""Horizon Wireless dba ExactSpec"", ""Brand"": ""Samsung"", ""Connectivity"": ""Wi-Fi""}"
EBAY-366419886900,Samsung Galaxy A16 5G Open Box Complete in Box OEM A/A+,Public eBay store listing imported from ExactSpec store page.,Open box,150.00,USD,1,366419886900,https://www.ebay.com/itm/366419886900,,Cell Phones & Smartphones,"{""Inventory source"": ""Public eBay store page"", ""Store"": ""Horizon Wireless dba ExactSpec"", ""Brand"": ""Samsung"", ""Network"": ""5G""}"
EBAY-366419908469,Apple iPhone 12 Pro Max 128GB Pacific Blue Open Box Complete In Box OEM,Public eBay store listing imported from ExactSpec store page.,Open box,350.00,USD,1,366419908469,https://www.ebay.com/itm/366419908469,,Cell Phones & Smartphones,"{""Inventory source"": ""Public eBay store page"", ""Store"": ""Horizon Wireless dba ExactSpec"", ""Brand"": ""Apple"", ""Model"": ""iPhone 12 Pro Max"", ""Storage Capacity"": ""128 GB"", ""Color"": ""Pacific Blue""}"
EBAY-366419910741,Apple iPhone 13 Pro Max 128GB Silver Open Box Complete In Box OEM,Public eBay store listing imported from ExactSpec store page.,Open box,450.00,USD,1,366419910741,https://www.ebay.com/itm/366419910741,,Cell Phones & Smartphones,"{""Inventory source"": ""Public eBay store page"", ""Store"": ""Horizon Wireless dba ExactSpec"", ""Brand"": ""Apple"", ""Model"": ""iPhone 13 Pro Max"", ""Storage Capacity"": ""128 GB"", ""Color"": ""Silver""}"
EBAY-366419875502,Galaxy S25 Blue 128gb Open Box,Public eBay store listing imported from ExactSpec store page.,Open box,525.00,USD,1,366419875502,https://www.ebay.com/itm/366419875502,,Cell Phones & Smartphones,"{""Inventory source"": ""Public eBay store page"", ""Store"": ""Horizon Wireless dba ExactSpec"", ""Brand"": ""Samsung"", ""Model"": ""Galaxy S25"", ""Storage Capacity"": ""128 GB"", ""Color"": ""Blue""}"
EBAY-366419898687,Motorola Moto G 5G 128 GB 2025 Open Box Black Complete In Box OEM,Public eBay store listing imported from ExactSpec store page.,Open box,140.00,USD,1,366419898687,https://www.ebay.com/itm/366419898687,,Cell Phones & Smartphones,"{""Inventory source"": ""Public eBay store page"", ""Store"": ""Horizon Wireless dba ExactSpec"", ""Brand"": ""Motorola"", ""Model"": ""Moto G 5G"", ""Storage Capacity"": ""128 GB"", ""Color"": ""Black""}"
EBAY-366419905577,Samsung Galaxy Note20 Ultra 5G White Open Box Complete In Box,Public eBay store listing imported from ExactSpec store page.,Open box,350.00,USD,1,366419905577,https://www.ebay.com/itm/366419905577,,Cell Phones & Smartphones,"{""Inventory source"": ""Public eBay store page"", ""Store"": ""Horizon Wireless dba ExactSpec"", ""Brand"": ""Samsung"", ""Model"": ""Galaxy Note20 Ultra 5G"", ""Color"": ""White""}"
